ad_id,image,title,description,plz,district,posted_at
1593565631,https://i.ebayimg.com/00/s/MTQ4OVgxNjAw/z/i5sAAOSw5ulfyqrv/$_2.PNG,Lateinnachhilfe | Latinum | Unterricht | Online | Skype | Zoom,Ich bin Doktorand an einer Berliner Universität und habe Latein und Erziehungswissenscha​ften in...,10407,Prenzlauer Berg,
1595154820,https://i.ebayimg.com/00/s/NDAzWDc1MA==/z/H18AAOSwuihfzMb2/$_2.JPG,Ankauf von Katalysator DPF mit Barzahlung & Abholung,"Konkurrenz nicht melden ich mach immer Anzeige online
⬇️⬇️⬇️⬇️

Hallo guten Tag Willkommen auf...",10407,Prenzlauer Berg,
1595743215,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/V9cAAOSwVb5fzRTw/$_2.JPG,I Phone 7 Hadyhulle Silikon,"Ich biete hier eine Hadyschutz Hülle an.
Passend für I Phone 6 und 7.
Zustand Gebraucht aber noch...",10407,Prenzlauer Berg,"Heute, 18:31"
1595742478,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/F9cAAOSwh6xfzRUS/$_2.JPG,Arbeitsgesetz ArbG und Aktiengesetz/ GmbH Gesetz AktG GmbhG,Zu verschenken.,10407,Prenzlauer Berg,"Heute, 18:31"
1595742380,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/y1AAAOSwrptfzRVG/$_2.JPG,Rollator zu verschenken,"Rollator kostenlos abzugeben.


Bremse links ist defekt. Ansonsten i. O.

Nur Abholung. In 10318...",10407,Prenzlauer Berg,"Heute, 18:30"
1595741703,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/kwgAAOSwubRfzRT3/$_2.JPG,Biete: Unterstützung mit Herz ❤ für Familien mit Kindern,"Biete: Unterstützung mit Herz ❤ für Familien mit Kindern


Hallo, ich bin Esther (35) und liebe den...",10407,Prenzlauer Berg,"Heute, 18:30"
1595740714,https://i.ebayimg.com/00/s/MTIwMFgxMjcw/z/A-0AAOSwZUNfzRS~/$_2.JPG,Alter Badezimmerschrank,"Hallo Zusammen,

Wir verschenken einen alten Spiegelschrank
Bei Interesse einfach melden.

Liebe...",10407,Prenzlauer Berg,"Heute, 18:29"
1595740274,https://i.ebayimg.com/00/s/MTU5OFg4OTc=/z/QxwAAOSwH~RfzRNV/$_2.JPG,Flurgardarobe aus Metall mit Ablage und Spiegel,Moderne Flurgardarobe aus Metall zu verschenken. Die Gardarobe ist in einem guten Zustand (siehe...,10407,Prenzlauer Berg,"Heute, 18:29"
1595739901,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/KUYAAOSwkdpfzRS9/$_2.JPG,Messerblock zu verschenken,"Die Messer sind keine gute Qualität, teilweise ein bisschen abgelaufen und sehr stumpf. Aber...",10407,Prenzlauer Berg,"Heute, 18:29"
1595738091,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Y7MAAOSwN4ZfzRQ8/$_2.JPG,Schrank 180x140x50 IKEA,"In guten Zustand, in Schöneberg",10407,Prenzlauer Berg,"Heute, 18:27"
1595737726,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ji4AAOSwjmFfzRQ0/$_2.JPG,Kleiderschrank 270 breit. 222 hoch mit Spiegel,"Kleiderschrank mit 6 Türen ca 10 Jahre alt.
Aussen Höhe 2,20m Breit 2,70m Tief 56cm
Innen Höhe...",10407,Prenzlauer Berg,"Heute, 18:27"
1595737533,https://i.ebayimg.com/00/s/MTYwMFg4NTg=/z/4mkAAOSwJVJfzRR7/$_2.JPG,Glasvitrine mit Licht und Spiegel,"Wir verschenken unsere Glasvitrine (ohne Inhalt)
Aussen Farbe ist glaube buche bin aber nicht...",10407,Prenzlauer Berg,"Heute, 18:27"
1595736768,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/AbIAAOSwGAhfzRRC/$_2.JPG,Schrankwand klein zu verschenken,"An Selbstabholer abzugeben.
Kleine Wohnwand/Schran​kwand zu verschenken. Siehe Fotos.
Abholung...",10407,Prenzlauer Berg,"Heute, 18:26"
1595735660,https://i.ebayimg.com/00/s/MTE5OFgxNTk4/z/6XYAAOSwCQNfzRR8/$_2.JPG,12 Bücher (Krimi/Thriller) zu verschenken,"Abholung Sonntag Nikolaus oder Montag

Tier- und rauchfreier Haushalt.",10407,Prenzlauer Berg,"Heute, 18:26"
1595735311,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/MtoAAOSwRCZfzRPJ/$_2.JPG,Schuhregal zu verschenken,"Schuhregal aus Metall, Breite verstellbar von ca. 60cm bis 100cm.",10407,Prenzlauer Berg,"Heute, 18:25"
1595734852,https://i.ebayimg.com/00/s/NzM4WDk4NA==/z/6xAAAOSwH9tfzRPg/$_2.JPG,"VGA Kabel, 1,50m, OVP",Nie benutzt...,10407,Prenzlauer Berg,"Heute, 18:25"
1595734787,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/eO0AAOSwUepfzRPk/$_2.JPG,Blumentopf bemalt,Blumentopf zu verschenken,10407,Prenzlauer Berg,"Heute, 18:25"
1595734307,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/KeEAAOSwCjJfzRPD/$_2.JPG,Zu verschenken Winterreifen,Von clio...,10407,Prenzlauer Berg,"Heute, 18:25"
1595733510,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/fRoAAOSwzcdfzRMC/$_2.JPG,Doppelbett mit verstellbarem Lattenrost zu verschenken,"Verschenke ein Doppelbett mit Nachtschränken und verstellbarem Lattenrost. 180x200m.
Bett ist schon...",10407,Prenzlauer Berg,"Heute, 18:24"
1595733316,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/iZ0AAOSwJt5fzRPD/$_2.JPG,"Hundetreffen, Hundefreunde, Hundespaziergang","Hallo da draußen!
Ich bin Louis und Leon. Wir sind beide 6 Jahre alt. In punkto menschlicher...",10407,Prenzlauer Berg,"Heute, 18:24"
1595732851,https://i.ebayimg.com/00/s/NzM4WDk4NA==/z/31cAAOSwRspfzROr/$_2.JPG,"Kaltgerätestecker 3polig, britischer Stecker, ca. 1m, OVP","Der Stecker wurde mal mit irgendetwas mitgeliefert, ich verschenke ihn gern, wenn ihn jemand...",10407,Prenzlauer Berg,"Heute, 18:23"
1595732222,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/hYIAAOSwBj9fzROQ/$_2.JPG,Kühlschrank mit Gefrier,"Kühlschrank Von Libher Als Defekt Zum Verschenken
Was Defekt ist genau wisse ich nicht Motor ist ok...",10407,Prenzlauer Berg,"Heute, 18:23"
1595731091,https://i.ebayimg.com/00/s/NjU4WDY2OA==/z/JfsAAOSwGbFfzRMn/$_2.JPG,Für den Musiker zu verschenken,"Das hüpsche Teil zu verschenken

Abholen o versenden",10407,Prenzlauer Berg,"Heute, 18:22"
1595730967,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/I0MAAOSwt2dfzRM4/$_2.JPG,alter Sessel mit Relaxfuntion,"leider mit starken Gebrauchsspuren, aber noch absolut funktionstüchtig.",10407,Prenzlauer Berg,"Heute, 18:22"
